id,tokens,intent
3552,american flights from cincinnati to salt lake city,Flight
98,what flights from salt lake city to new york city arrive next saturday before 6 pm,Flight
324,what is mco,NoFlight
3519,list delta flights from seattle to salt lake city,Flight
2433,could you show me all weekday flights from phoenix to denver,Flight
4428,show me all flights from san diego to phoenix on a boeing 737,Flight
310,again i will repeat i want to make a one way flight from boston to atlanta will you tell me how much the fares are i would like the cheapest fare,Flight
1558,may i have a list of flights going from boston to denver on the twenty ninth of july,Flight
1049,i would like to know some information on flights leaving philadelphia arriving in pittsburgh in the afternoon,Flight
1916,what is the first class fare from baltimore to dallas,Flight
2749,round trip flights between new york and miami,Flight
3635,i would like a flight from boston to denver on monday,Flight
1334,what delta flights from cincinnati to new york city arrive at new york city before 6 pm on saturday,Flight
4900,what are the fares for flights between atlanta and dfw provided by american airlines,Flight
253,flights from oakland to san francisco on january twenty first 1992,Flight
50,i'll need to rent a car in washington dc,NoFlight
3447,what are my choices of flights from las vegas to new york,Flight
5445,i 'd like to fly from Indianapolis to Houston on t w a and the plane should arrive around eleven a.m .,Flight
1195,what type of aircraft are used on flights from cleveland to dallas that leave before noon,NoFlight
878,show me all flights both direct and connecting to either san francisco or oakland from boston that arrive before 2 pm,Flight
41,i need a nonstop flight from atlanta to baltimore arriving between 5 pm and 730 pm,Flight
518,i need information on a flight from san francisco to atlanta that would stop in fort worth,Flight
1862,show me nonstop flights from kansas city to phoenix,Flight
3809,i'd like to fly from philadelphia to dallas to san francisco,Flight
4878,can you show me flights that are economy class from baltimore to dallas,Flight
4303,do you have a flight from atlanta to charlotte north carolina next monday,Flight
5049,are there any later flights than 810 pm leaving from milwaukee for tacoma tomorrow evening,Flight
4682,what are the flights between pittsburgh and baltimore on august tenth,Flight
5187,i would like to return from chicago around 7 pm to kansas city,Flight
2442,i need an early flight from milwaukee to denver,Flight
3135,morning flight from atlanta to philadelphia,Flight
328,what are the flights between dca and milwaukee,Flight
4336,how far is los angeles international from downtown,NoFlight
4480,show me all flights from philadelphia to dallas which arrive in dallas before 3 o'clock pm on saturday,Flight
320,what does mco stand for,NoFlight
5000,i'd like to see the fare code again qx,NoFlight
1672,is there a flight from boston to atlanta which leaves boston in the afternoon and arrives close to 5 pm,Flight
4041,show me flights from denver to atlanta,Flight
2130,show me the flights from philadelphia to dallas that stop in atlanta,Flight
3082,which flights on us air go from orlando to cleveland,Flight
3766,show flights from pittsburgh into san francisco,Flight
3345,i need a flight on sunday from long beach to columbus,Flight
3003,please arrange a flight for me from denver to san francisco on us air,Flight
2712,list all flights on continental leaving denver on sunday after 2134,Flight
5449,what if i wanted to leave on may fifth .,Flight
4098,show me the flights from atlanta to philadelphia,Flight
1264,list all flights arriving and departing at general mitchell international,Flight
257,what are the flights from boston to washington on october fifteenth 1991,Flight
1097,what is the lowest fare for a flight from washington dc to boston,Flight
