id,tokens,intent
train-4765,show me all the flights from toronto on nationair,"AskFlight, AskFlightWithAirline"
2857,i would like a flight from pittsburgh to san francisco on august twentieth,AskFlight
3848,flight leaving from oakland to salt lake city,AskFlight
1872,show business class fares from san francisco to denver on united airlines,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
2299,show me flights on monday from philadelphia to boston after 7 am,AskFlight
1880,how much does a first class round trip ticket from cleveland to miami on us air cost,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
1357,list all afternoon flights leaving baltimore and arriving in atlanta on thursday,AskFlight
4977,please find a flight from miami florida to las vegas nevada arriving before 4 o'clock pm,"AskFlight, AskFlightWithCost"
3506,does continental fly from boston to san francisco,"AskFlight, AskFlightWithAirline"
5050,give me the earliest flight tomorrow on united airlines from st. petersburg to milwaukee,"AskFlight, AskFlightWithAirline"
1006,show me the cheapest flight from pittsburgh to atlanta on wednesday which leaves before noon and serves breakfast,"AskFlight, AskFlightWithCost"
1482,i would like a morning flight from milwaukee to denver colorado please,AskFlight
3582,show me flights from dallas to atlanta on tuesday,AskFlight
4432,list flights between boston and san francisco that serve breakfast,AskFlight
2560,what is the lowest fare united charges between boston and san francisco,"AskFlight, AskFlightWithCost"
3300,give me the flights from phoenix to milwaukee on wednesday evening,AskFlight
3743,show me flights from tampa to st. louis,AskFlight
2530,list flights from montreal to washington with the lowest one way fares that leaves on saturday,"AskFlight, AskFlightWithCost"
1857,how much does it cost to fly directly from philadelphia to san francisco on american airlines,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
791,i want to depart washington april twentieth to atlanta least expensive fare,"AskFlight, AskFlightWithCost"
5133,i need the cost of a ticket going from denver to baltimore a first class ticket on united airlines,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
768,give me the least expensive first class round trip ticket on us air from cleveland to miami,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
2632,find me the cheapest flight from boston to washington,"AskFlight, AskFlightWithCost"
2123,which united airlines flight flies from boston to san francisco and makes a stopover in philadelphia,"AskFlight, AskFlightWithAirline"
4643,what is the cheapest fare from dallas to denver on delta,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
1487,i need information on flights leaving philadelphia on thursday arriving in oakland california,AskFlight
2967,show me all fares from new york to miami leaving on a tuesday,"AskFlight, AskFlightWithCost"
309,first flights and fares from pittsburgh to atlanta on a thursday,"AskFlight, AskFlightWithCost"
2968,list the fares of us air flights from boston to philadelphia,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
3067,okay all right do you have a flight on united airlines from atlanta to washington,"AskFlight, AskFlightWithAirline"
306,list all flights and their fares from memphis to miami on a wednesday evening,"AskFlight, AskFlightWithCost"
1576,give me the flights on december twenty seventh with the fares from indianapolis to orlando,"AskFlight, AskFlightWithCost"
4379,list daily flights from boston to oakland using continental airlines,"AskFlight, AskFlightWithAirline"
1935,first class round trip airfare from indianapolis to memphis,"AskFlight, AskFlightWithCost"
5528,i 'd like an afternoon flight .,AskFlight
5338,what are the american flights from newark to nashville,"AskFlight, AskFlightWithAirline"
5374,i'd like to fly from boston to fort worth,AskFlight
3212,please list the afternoon flights from charlotte to minneapolis,AskFlight
2963,show me the fares for delta flights from dallas to san francisco,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
291,please give me the flight times the morning on united airlines for september twentieth from philadelphia to san francisco,"AskFlight, AskFlightWithAirline"
2932,how much does it cost to fly eastern airlines from atlanta to boston,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
1976,what is the cheapest round trip coach flight between dallas and baltimore leaving august tenth,"AskFlight, AskFlightWithCost"
3535,please list all northwest flights into denver,"AskFlight, AskFlightWithAirline"
2673,show me the cheapest round trip fare from baltimore to dallas,"AskFlight, AskFlightWithCost"
